22
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]
Gen 49 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]
Gen 50 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 51 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 52 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 53 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 54 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 55 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 56 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 57 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 58 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 59 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 60 => 0.0
# of feats=14 Fitness=0.0 [1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]
Gen 61 => 0.0
# of feats=14 Fitness=0.0 [1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]
Gen 62 => 0.0
# of feats=14 Fitness=0.0 [1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]
Gen 63 => 0.0
# of feats=13 Fitness=0.0 [1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]
Gen 64 => 0.0
# of feats=13 Fitness=0.0 [1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]
Gen 65 => 0.0
# of feats=14 Fitness=0.0 [1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
Gen 66 => 0.0
# of feats=14 Fitness=0.0 [1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
Gen 67 => 0.0
# of feats=14 Fitness=0.0 [1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
Gen 68 => 0.0
# of feats=14 Fitness=0.0 [1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
Gen 69 => 0.0
# of feats=14 Fitness=0.0 [1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
Gen 70 => 0.0
# of feats=14 Fitness=0.0 [1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
Gen 71 => 0.0
# of feats=14 Fitness=0.0 [1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
Gen 72 => 0.0
# of feats=14 Fitness=0.0 [1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 73 => 0.0
# of feats=14 Fitness=0.0 [1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 74 => 0.0
# of feats=14 Fitness=0.0 [1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 75 => 0.0
# of feats=14 Fitness=0.0 [1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]
Gen 76 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]
Gen 77 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]
Gen 78 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]
Gen 79 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]
Gen 80 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]
Gen 81 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]
Gen 82 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]
Gen 83 => 0.0
# of feats=11 Fitness=0.0 [1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0]
Gen 84 => 0.0
# of feats=11 Fitness=0.0 [1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0]
Gen 85 => 0.0
# of feats=11 Fitness=0.0 [1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0]
Gen 86 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]
Gen 87 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]
Gen 88 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]
Gen 89 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]
Gen 90 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]
Gen 91 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]
Gen 92 => 0.0
# of feats=15 Fitness=0.0 [0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]
Gen 93 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
Gen 94 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
Gen 95 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
Gen 96 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
Gen 97 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
Gen 98 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
Gen 99 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
Gen 100 => 0.0
# of feats=10 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
Gen 1 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]
Gen 2 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]
Gen 3 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]
Gen 4 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]
Gen 5 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]
Gen 6 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]
Gen 7 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]
Gen 8 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]
Gen 9 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]
Gen 10 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]
Gen 11 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]
Gen 12 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]
Gen 13 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]
Gen 14 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]
Gen 15 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]
Gen 16 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]
Gen 17 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]
Gen 18 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]
Gen 19 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]
Gen 20 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]
Gen 21 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]
Gen 22 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]
Gen 23 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]
Gen 24 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]
Gen 25 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]
Gen 26 => 0.0
# of feats=13 Fitness=0.0 [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]
Gen 27 => 0.0
# of feats=8 Fitness=0.0 [0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]
Gen 28 => 0.0
# of feats=8 Fitness=0.0 [0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]
Gen 29 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]
Gen 30 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]
Gen 31 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Gen 32 => 0.0
# of feats=12 Fitness=0.0 [0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1]
Gen 33 => 0.0
# of feats=9 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]
Gen 34 => 0.0
# of feats=9 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]
Gen 35 => 0.0
# of feats=9 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]
Gen 36 => 0.0
# of feats=9 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]
Gen 37 => 0.0
# of feats=9 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]
Gen 38 => 0.0
# of feats=9 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]
Gen 39 => 0.0
# of feats=9 Fitness=0.0 [0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]
Gen 40 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
Gen 41 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
Gen 42 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
Gen 43 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
Gen 44 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
Gen 45 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
Gen 46 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
Gen 47 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
Gen 48 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
Gen 49 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
Gen 50 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
Gen 51 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
Gen 52 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
Gen 53 => 0.0
# of feats=15 Fitness=0.0 [0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
Gen 54 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]
Gen 55 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]
Gen 56 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]
Gen 57 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]
Gen 58 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]
Gen 59 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]
Gen 60 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]
Gen 61 => 0.0
# of feats=12 Fitness=0.0 [0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]
Gen 62 => 0.0
# of feats=14 Fitness=0.0 [1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]
Gen 63 => 0.0
# of feats=14 Fitness=0.0 [1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]
Gen 64 => 0.0
# of feats=9 Fitness=0.0 [0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]
Gen 65 => 0.0
# of feats=9 Fitness=0.0 [0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]
Gen 66 => 0.0
# of feats=14 Fitness=0.0 [0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]
Gen 67 => 0.0
# of feats=14 Fitness=0.0 [0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]
Gen 68 => 0.0
# of feats=14 Fitness=0.0 [0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]
Gen 69 => 0.0
# of feats=10 Fitness=0.0 [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]
Gen 70 => 0.0
# of feats=10 Fitness=0.0 [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]
Gen 71 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 72 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 73 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 74 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 75 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 76 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 77 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 78 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 79 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 80 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 81 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 82 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 83 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 84 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 85 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 86 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 87 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 88 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]
Gen 89 => 0.0
# of feats=13 Fitness=0.0 [0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1]
Gen 90 => 0.0
# of feats=12 Fitness=0.0 [1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]
Gen 91 => 0.0
# of feats=12 Fitness=0.0 [1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]
Gen 92 => 0.0
# of feats=12 Fitness=0.0 [1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]
Gen 93 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]
Gen 94 => 0.0
# of feats=11 Fitness=0.0 [0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]
Gen 95 => 0.0
